registered_utc	file	sha256	n_requests	n_questions	description
2026-09-24T22:57:04+00:00	E10_scaling.json	f52fb827aaab3fa78c955f3f9ab3f304b087e377354d885f8a0a2dcfe75f7cc2	20	400	State-size scaling: 8 planted needle facts (depths 5%-96%) + 2 absent facts in Circuit OS project text filler, at 10 target sizes from 1k to 31k state tokens, two needle/filler sets; 20 questions per request (10 Choice with not_stated, 10 Noul).
2026-09-24T22:57:04+00:00	E1a_conf_k.json	84974b7cfb5d0ce2f7504a36aca76b319d42b3e90ade73a65ab3be1ab34b3fc5	12	84	Choice confidence vs k: 2 live options (truth, pre-registered wrong) + 0..6 clearly inapplicable options; one request per item.
2026-09-24T22:57:04+00:00	E1b_score_formula.json	8375b9435a913ca8c49a8a3e65d9a7d971f7346a56725749a196b597af696e3d	12	96	Score answers with 2-10 levels on 12 judgment states, to identify the Score confidence formula.
2026-09-24T22:57:04+00:00	E2_determinism.json	82ef3883d7a6b34f5cdca779a5f6dbfb0f695c16541f9a41b77cc34508e437da	1	20	One fixed 20-question request (rs485 state; includes 2 exact duplicates of pulldown_option under other names and a label-reversed copy) repeated: 10 sequential now, 10 at concurrency 8 now, 10 sequential >=1 h later, and 3 each under jev-latest and jev-preview.
2026-09-24T22:57:04+00:00	E3_order.json	d93060f7aa276b6d594e52fb00570c064d93469d9b060b7a972c436b55c828f4	88	528	Option-order effects: 74 known-answer + 14 judgment Choice items; each request carries the item's question in 6 option orders (all 6 permutations when k=3; presentation, reversed and 4 seeded random permutations when k>3).
2026-09-24T22:57:04+00:00	E3b_order_separate.json	52c7053e561abc562e8147d0b70547bb78a4b9c9c0bbb675a513ed71f34a39f0	36	36	Validation of the within-request design: the 6 orders of 6 items sent as 36 separate single-question requests.
2026-09-24T22:57:04+00:00	E4_paraphrase.json	a3b98213043a4e0baa2e1c7088616d90646b1b57530dd76fb0a574db9756ac75	140	560	Paraphrase: 29 known + 6 judgment items x 4 states (original + 3 hand-written paraphrases of context and case); each request asks the original instructions and 3 paraphrased instructions (same options).
2026-09-24T22:57:04+00:00	E5_polarity.json	1e51a60df0bdf3e725f2dfdf59ad755fead192b0a614d6df46d17c5dfe60153d	48	232	Polarity: 40 known-answer + 8 judgment Noul pairs (x, not-x), the equivalent two-option Choice in both orders, and (known items) the full k-way Choice.
2026-09-24T22:57:04+00:00	E6_authority.json	c2b1d15287dfa973b7eee60413842d1e9738cbfc3a8e01ef43d5e754521b4e32	308	616	Authority/social cues in a state 'note' field: none, neutral note, owner/council/experts/URGENT pointing at the pre-registered wrong option, and owner pointing at the truth; 44 known items; each request asks the question in presentation and reversed order.
2026-09-24T22:57:15+00:00	E7_distractors.json	250effb63ec5882c8b8ef2496c821f76f56b182cd462253eaca3f0d9efb76ac2	128	256	Irrelevant project text (paragraphs of the 8 files in distractor_sources, filtered by a keyword blacklist of item-decisive terms) added at 10%, 50%, 200% of the state's size after the facts, and 200% before; 32 known items; baseline is E6 neutral_none.
2026-09-24T22:57:04+00:00	E8_batching.json	536742332ea729868a43b6ec0e2abcdadf4e99eaf17677249c6d957b6794d697	60	1220	Batching: the same target question alone (x2), and inside batches of 10 and 50 questions (2 random filler compositions each, target at a random position); 10 targets (6 known, 4 judgment).
2026-09-24T22:57:04+00:00	E9_nmi.json	f0b6d68b49b0c70f0125d017b5c1ecdbe6d143ed583a440bbc23cd6c3f2b67de	72	288	need_more_information: 36 known items, answerable case and a case with the decisive fact removed; each request asks with/without need_more_information and with/without 3 dead options.
2026-09-25T06:41:31+00:00	E1c_conf_k_judgment.json	060773f3139bed7ca0270af3c427da81ee20ab355f01e65d5c8191941a470c6a	14	98	LATE REGISTRATION (built 2026-09-24 after the main registration; registered before any call). Confidence formula and dead-option inflation on 14 judgment items (mid-range p_top): the governing Choice with 0..6 clearly inapplicable options appended.
2026-09-25T06:41:31+00:00	E3h_order_lure.json	f9b929d954af701a4b9dac8f2fb61bd7ebe78953c6adf8e9aa4ba0a5b73f4bf1	24	144	LATE REGISTRATION (built 2026-09-24 after the main registration; registered before any call). Option order on 24 lure items (known answers, strong pre-registered lures); 6 orders per request.
2026-09-25T06:41:31+00:00	E6h_authority_lure.json	1f86f12eb9d4d4fe979bb93dc435c20f3cc315a0f9f12a950e76d6e416a13fc5	96	192	LATE REGISTRATION (built 2026-09-24 after the main registration; registered before any call). Authority cues on 24 lure items: none, owner->lure, council->lure, owner->truth; presentation and reversed order.
2026-09-25T06:41:31+00:00	E6j_authority_judgment.json	bbe151ca30f0c93dd166824fa2fc7f22d090255b9c94aa2cf4011b2a063aa3a0	84	168	LATE REGISTRATION (built 2026-09-24 after the main registration; registered before any call). Authority cues on the 14 judgment items (no ground truth): none, neutral note, owner/council/experts/URGENT pointing at the E3 runner-up option; presentation and reversed order.
2026-09-25T06:41:31+00:00	E7h_distractors_lure.json	a24c1c99da0dc0f6fedc21aa64bc4eb381e875d47110911bf80a18d47a7515d0	48	96	LATE REGISTRATION (built 2026-09-24 after the main registration; registered before any call). 200% irrelevant project text after / before the facts on 24 lure items; baseline E6h neutral_none.
2026-09-25T06:41:31+00:00	E9h_nmi_lure.json	d9b281baa7a02b2179d8f1758908665b3409d1c332d104a7247fda6f7e9f6c83	24	96	LATE REGISTRATION (built 2026-09-24 after the main registration; registered before any call). need_more_information on/off and 3 dead options on/off, 24 lure items (answerable).
